Project Name,Package Name,Type Name,Method Name,Code Smell
Reservation-System-Starter,flight.reservation,AFlightIsRemoved,thenTheCorrectFlightShouldBeRemoved,Magic Number
Reservation-System-Starter,flight.reservation,AFlightIsScheduled,thenTheScheduleShouldContainTheAddedFlight,Long Statement
Reservation-System-Starter,flight.reservation,AFlightIsScheduled,thenTheScheduleShouldContainTheAddedFlight,Long Statement
Reservation-System-Starter,flight.reservation,AFlightIsScheduled,thenTheScheduleShouldContainTheAddedFlight,Long Statement
Reservation-System-Starter,flight.reservation,AFlightIsScheduled,thenTheScheduleShouldContainTheAddedFlight,Long Statement
Reservation-System-Starter,flight.reservation,AFlightIsScheduled,thenTheScheduleShouldContainTheAddedFlight,Magic Number
Reservation-System-Starter,flight.reservation,AFlightIsScheduled,thenTheScheduleShouldContainTheAddedFlight,Magic Number
Reservation-System-Starter,flight.reservation,AFlightIsScheduled,thenTheScheduleShouldContainTheAddedFlight,Magic Number
Reservation-System-Starter,flight.reservation,AFlightIsScheduled,thenTheScheduleShouldContainTheAddedFlight,Magic Number
Reservation-System-Starter,flight.reservation,AFlightIsScheduled,thenTheScheduleShouldContainTheAddedFlight,Magic Number
Reservation-System-Starter,flight.reservation,AFlightIsSearched,thenTheFlightShouldBeReturned,Magic Number
Reservation-System-Starter,flight.reservation.payment,PayPalPayment,PayPalPayment,Complex Conditional
Reservation-System-Starter,flight.reservation.payment,CreditCard,CreditCard,Magic Number
Reservation-System-Starter,flight.reservation.plane,PassengerPlane,PassengerPlane,Magic Number
Reservation-System-Starter,flight.reservation.plane,PassengerPlane,PassengerPlane,Magic Number
Reservation-System-Starter,flight.reservation.plane,PassengerPlane,PassengerPlane,Magic Number
Reservation-System-Starter,flight.reservation.plane,PassengerPlane,PassengerPlane,Magic Number
Reservation-System-Starter,flight.reservation.plane,PassengerPlane,PassengerPlane,Magic Number
Reservation-System-Starter,flight.reservation.plane,PassengerPlane,PassengerPlane,Magic Number
Reservation-System-Starter,flight.reservation.plane,PassengerPlane,PassengerPlane,Magic Number
Reservation-System-Starter,flight.reservation.plane,PassengerPlane,PassengerPlane,Magic Number
Reservation-System-Starter,flight.reservation.plane,PassengerPlane,PassengerPlane,Missing default
Reservation-System-Starter,flight.reservation.plane,AircraftFactory,create,Complex Method
Reservation-System-Starter,flight.reservation.plane,AircraftFactory,create,Missing default
Reservation-System-Starter,flight.reservation.plane,Helicopter,Helicopter,Magic Number
Reservation-System-Starter,flight.reservation.plane,Helicopter,Helicopter,Magic Number
Reservation-System-Starter,flight.reservation.plane,Helicopter,Helicopter,Magic Number
Reservation-System-Starter,flight.reservation.plane,Helicopter,Helicopter,Magic Number
Reservation-System-Starter,flight.reservation.flight,Schedule,scheduleFlight,Long Statement
Reservation-System-Starter,flight.reservation.flight,Schedule,removeFlight,Complex Conditional
Reservation-System-Starter,flight.reservation.flight,Schedule,removeFlight,Long Statement
Reservation-System-Starter,flight.reservation.flight,ScheduledFlight,ScheduledFlight,Long Parameter List
Reservation-System-Starter,flight.reservation.flight,ScheduledFlight,ScheduledFlight,Long Parameter List
Reservation-System-Starter,(default package),MavenWrapperDownloader,main,Empty catch clause
Reservation-System-Starter,(default package),MavenWrapperDownloader,main,Long Identifier
