Project Name,Package Name,Type Name,MethodName,LOC,CC,PC
Reservation-System-Starter,flight.reservation,GivenAnExistingSchedule,thenTheFlightShouldBeReturned,8,1,0
Reservation-System-Starter,flight.reservation,GivenAnExistingSchedule,thenNullShouldBeReturned,4,1,0
Reservation-System-Starter,flight.reservation,AFlightIsRemoved,thenAFlightShouldBeRemoved,4,1,0
Reservation-System-Starter,flight.reservation,AFlightIsRemoved,thenTheCorrectFlightShouldBeRemoved,9,1,0
Reservation-System-Starter,flight.reservation,AFlightIsScheduled,thenTheScheduleShouldContainTheAddedFlight,9,1,0
Reservation-System-Starter,flight.reservation,AFlightIsSearched,thenTheFlightShouldBeReturned,8,1,0
Reservation-System-Starter,flight.reservation,AFlightIsSearched,thenNullShouldBeReturned,4,1,0
Reservation-System-Starter,flight.reservation,TestUtil,addDays,6,1,2
Reservation-System-Starter,flight.reservation.order,BookingObserver,onBookingConfirmed,0,1,1
Reservation-System-Starter,flight.reservation.order,CustomerNoFlyHandler,handle,6,2,3
Reservation-System-Starter,flight.reservation.order,BookingConfirmationObserver,onBookingConfirmed,3,1,1
Reservation-System-Starter,flight.reservation.order,CapacityMonitorObserver,onBookingConfirmed,11,3,1
Reservation-System-Starter,flight.reservation.order,FlightOrder,FlightOrder,3,1,1
Reservation-System-Starter,flight.reservation.order,FlightOrder,getNoFlyList,3,1,0
Reservation-System-Starter,flight.reservation.order,FlightOrder,getScheduledFlights,3,1,0
Reservation-System-Starter,flight.reservation.order,FlightOrder,addObserver,3,1,1
Reservation-System-Starter,flight.reservation.order,FlightOrder,notifyObservers,5,2,0
Reservation-System-Starter,flight.reservation.order,FlightOrder,processOrder,11,3,1
Reservation-System-Starter,flight.reservation.order,FlightOrderBuilder,withFlights,4,1,1
Reservation-System-Starter,flight.reservation.order,FlightOrderBuilder,withCustomer,4,1,1
Reservation-System-Starter,flight.reservation.order,FlightOrderBuilder,withPrice,5,1,1
Reservation-System-Starter,flight.reservation.order,FlightOrderBuilder,withPassengers,4,1,1
Reservation-System-Starter,flight.reservation.order,FlightOrderBuilder,build,19,5,0
Reservation-System-Starter,flight.reservation.order,PassengerNoFlyHandler,handle,6,2,3
Reservation-System-Starter,flight.reservation.order,OrderValidationHandler,setNext,4,1,1
Reservation-System-Starter,flight.reservation.order,OrderValidationHandler,handle,0,1,3
Reservation-System-Starter,flight.reservation.order,OrderValidationHandler,handleNext,4,2,3
Reservation-System-Starter,flight.reservation.order,Order,Order,3,1,0
Reservation-System-Starter,flight.reservation.order,Order,getId,3,1,0
Reservation-System-Starter,flight.reservation.order,Order,getPrice,3,1,0
Reservation-System-Starter,flight.reservation.order,Order,setPrice,3,1,1
Reservation-System-Starter,flight.reservation.order,Order,getCustomer,3,1,0
Reservation-System-Starter,flight.reservation.order,Order,setCustomer,3,1,1
Reservation-System-Starter,flight.reservation.order,Order,getPassengers,3,1,0
Reservation-System-Starter,flight.reservation.order,Order,setPassengers,3,1,1
Reservation-System-Starter,flight.reservation.order,Order,isClosed,3,1,0
Reservation-System-Starter,flight.reservation.order,Order,setClosed,3,1,0
Reservation-System-Starter,flight.reservation.order,FlightCapacityHandler,handle,7,2,3
Reservation-System-Starter,flight.reservation.payment,PayPalPayment,PayPalPayment,7,2,2
Reservation-System-Starter,flight.reservation.payment,PayPalPayment,pay,4,1,1
Reservation-System-Starter,flight.reservation.payment,CreditCard,CreditCard,7,1,3
Reservation-System-Starter,flight.reservation.payment,CreditCard,setAmount,3,1,1
Reservation-System-Starter,flight.reservation.payment,CreditCard,getAmount,3,1,0
Reservation-System-Starter,flight.reservation.payment,CreditCard,isValid,3,1,0
Reservation-System-Starter,flight.reservation.payment,CreditCard,setValid,3,1,0
Reservation-System-Starter,flight.reservation.payment,PaymentStrategy,pay,0,1,1
Reservation-System-Starter,flight.reservation.payment,CreditCardPayment,CreditCardPayment,6,2,1
Reservation-System-Starter,flight.reservation.payment,CreditCardPayment,pay,10,2,1
Reservation-System-Starter,flight.reservation.plane,PassengerPlane,PassengerPlane,27,5,1
Reservation-System-Starter,flight.reservation.plane,PassengerPlane,getModel,3,1,0
Reservation-System-Starter,flight.reservation.plane,PassengerPlane,getPassengerCapacity,3,1,0
Reservation-System-Starter,flight.reservation.plane,PassengerPlane,getCrewCapacity,3,1,0
Reservation-System-Starter,flight.reservation.plane,PassengerDroneAdapter,PassengerDroneAdapter,3,1,1
Reservation-System-Starter,flight.reservation.plane,PassengerDroneAdapter,getModel,3,1,0
Reservation-System-Starter,flight.reservation.plane,PassengerDroneAdapter,getPassengerCapacity,3,1,0
Reservation-System-Starter,flight.reservation.plane,PassengerDroneAdapter,getCrewCapacity,3,1,0
Reservation-System-Starter,flight.reservation.plane,PassengerPlaneAdapter,PassengerPlaneAdapter,3,1,1
Reservation-System-Starter,flight.reservation.plane,PassengerPlaneAdapter,getModel,3,1,0
Reservation-System-Starter,flight.reservation.plane,PassengerPlaneAdapter,getPassengerCapacity,3,1,0
Reservation-System-Starter,flight.reservation.plane,PassengerPlaneAdapter,getCrewCapacity,3,1,0
Reservation-System-Starter,flight.reservation.plane,Aircraft,getModel,0,1,0
Reservation-System-Starter,flight.reservation.plane,Aircraft,getPassengerCapacity,0,1,0
Reservation-System-Starter,flight.reservation.plane,Aircraft,getCrewCapacity,0,1,0
Reservation-System-Starter,flight.reservation.plane,AircraftFactory,create,16,8,1
Reservation-System-Starter,flight.reservation.plane,HelicopterAdapter,HelicopterAdapter,3,1,1
Reservation-System-Starter,flight.reservation.plane,HelicopterAdapter,getModel,3,1,0
Reservation-System-Starter,flight.reservation.plane,HelicopterAdapter,getPassengerCapacity,3,1,0
Reservation-System-Starter,flight.reservation.plane,HelicopterAdapter,getCrewCapacity,3,1,0
Reservation-System-Starter,flight.reservation.plane,PassengerDrone,PassengerDrone,8,2,1
Reservation-System-Starter,flight.reservation.plane,PassengerDrone,getModel,3,1,0
Reservation-System-Starter,flight.reservation.plane,PassengerDrone,getPassengerCapacity,3,1,0
Reservation-System-Starter,flight.reservation.plane,PassengerDrone,getCrewCapacity,3,1,0
Reservation-System-Starter,flight.reservation.plane,Helicopter,Helicopter,14,3,1
Reservation-System-Starter,flight.reservation.plane,Helicopter,getModel,3,1,0
Reservation-System-Starter,flight.reservation.plane,Helicopter,getPassengerCapacity,3,1,0
Reservation-System-Starter,flight.reservation.plane,Helicopter,getCrewCapacity,3,1,0
Reservation-System-Starter,flight.reservation.flight,Schedule,Schedule,3,1,0
Reservation-System-Starter,flight.reservation.flight,Schedule,getScheduledFlights,3,1,0
Reservation-System-Starter,flight.reservation.flight,Schedule,scheduleFlight,4,1,2
Reservation-System-Starter,flight.reservation.flight,Schedule,removeFlight,9,3,1
Reservation-System-Starter,flight.reservation.flight,Schedule,removeScheduledFlight,3,1,1
Reservation-System-Starter,flight.reservation.flight,Schedule,searchScheduledFlight,3,1,1
Reservation-System-Starter,flight.reservation.flight,Schedule,clear,3,1,0
Reservation-System-Starter,flight.reservation.flight,ScheduledFlight,ScheduledFlight,5,1,5
Reservation-System-Starter,flight.reservation.flight,ScheduledFlight,ScheduledFlight,6,1,6
Reservation-System-Starter,flight.reservation.flight,ScheduledFlight,getCrewMemberCapacity,3,1,0
Reservation-System-Starter,flight.reservation.flight,ScheduledFlight,addPassengers,3,1,1
Reservation-System-Starter,flight.reservation.flight,ScheduledFlight,removePassengers,3,1,1
Reservation-System-Starter,flight.reservation.flight,ScheduledFlight,getCapacity,3,1,0
Reservation-System-Starter,flight.reservation.flight,ScheduledFlight,getAvailableCapacity,3,1,0
Reservation-System-Starter,flight.reservation.flight,ScheduledFlight,getDepartureTime,3,1,0
Reservation-System-Starter,flight.reservation.flight,ScheduledFlight,getPassengers,3,1,0
Reservation-System-Starter,flight.reservation.flight,ScheduledFlight,getCurrentPrice,3,1,0
Reservation-System-Starter,flight.reservation.flight,ScheduledFlight,setCurrentPrice,3,1,1
Reservation-System-Starter,flight.reservation.flight,Flight,Flight,7,1,4
Reservation-System-Starter,flight.reservation.flight,Flight,checkValidity,5,2,0
Reservation-System-Starter,flight.reservation.flight,Flight,isAircraftValid,4,1,1
Reservation-System-Starter,flight.reservation.flight,Flight,getAircraft,3,1,0
Reservation-System-Starter,flight.reservation.flight,Flight,getNumber,3,1,0
Reservation-System-Starter,flight.reservation.flight,Flight,getDeparture,3,1,0
Reservation-System-Starter,flight.reservation.flight,Flight,getArrival,3,1,0
Reservation-System-Starter,flight.reservation.flight,Flight,toString,3,1,0
Reservation-System-Starter,(default package),Runner,main,2,1,1
Reservation-System-Starter,(default package),MavenWrapperDownloader,main,46,5,1
Reservation-System-Starter,(default package),MavenWrapperDownloader,downloadFileFromURL,19,2,2
Reservation-System-Starter,(default package),MavenWrapperDownloader,getPasswordAuthentication,3,1,0
